1667098452.895900, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:93452144 lastrcv:93452144 lastack:93452144 unacked:1 rcv_ssthresh:42340
1667098452.916680, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:93452160 lastrcv:93452160 lastack:93452160 unacked:1 rcv_ssthresh:42340
1667098452.932246, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:93452176 lastrcv:93452176 lastack:93452176 unacked:1 rcv_ssthresh:42340
1667098452.946333, 	 reno wscale:8,9 rto:244 rtt:41.682/20.841 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.8Mbps lastsnd:4 lastrcv:4 lastack:4 pacing_rate 5.6Mbps delivered:1 busy:4ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:41.682
1667098452.960353, 	 reno wscale:8,9 rto:244 rtt:41.682/20.841 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.8Mbps lastsnd:20 lastrcv:20 lastack:20 pacing_rate 5.6Mbps delivered:1 busy:20ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:41.682
1667098452.975647, 	 reno wscale:8,9 rto:236 rtt:33.532/13.111 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_sent:43440 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 6.9Mbps lastsnd:4 lastrcv:36 lastack:4 pacing_rate 13.8Mbps delivery_rate 4.0Mbps delivered:11 app_limited busy:36ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:127424 minrtt:20.494
1667098452.990334, 	 reno wscale:8,9 rto:232 rtt:29.021/9.618 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:28 bytes_sent:66608 bytes_acked:26065 segs_out:48 segs_in:10 data_segs_out:46 send 11.2Mbps lastrcv:48 pacing_rate 22.4Mbps delivery_rate 6.5Mbps delivered:19 busy:48ms unacked:28 rcv_space:14480 rcv_ssthresh:42242 notsent:104256 minrtt:20.388
1667098453.003763, 	 reno wscale:8,9 rto:232 rtt:28.703/3.289 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:38 bytes_sent:95568 bytes_acked:40545 segs_out:68 segs_in:15 data_segs_out:66 send 15.3Mbps lastrcv:60 pacing_rate 30.7Mbps delivery_rate 7.0Mbps delivered:29 busy:60ms unacked:38 rcv_space:14480 rcv_ssthresh:42242 notsent:211408 minrtt:20.388
1667098453.017483, 	 reno wscale:8,9 rto:232 rtt:28.075/2.025 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:50 bytes_sent:128872 bytes_acked:57921 segs_out:91 segs_in:21 data_segs_out:89 send 20.6Mbps lastrcv:76 pacing_rate 41.3Mbps delivery_rate 9.6Mbps delivered:41 busy:76ms unacked:49 rcv_space:14480 rcv_ssthresh:42242 notsent:377928 minrtt:20.388
1667098453.031201, 	 reno wscale:8,9 rto:232 rtt:30.785/4.08 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:60 bytes_sent:159280 bytes_acked:72401 segs_out:112 segs_in:26 data_segs_out:110 send 22.6Mbps lastrcv:88 pacing_rate 45.2Mbps delivery_rate 9.6Mbps delivered:51 busy:88ms unacked:60 rcv_space:14480 rcv_ssthresh:42242 notsent:347520 minrtt:20.388
1667098453.044445, 	 reno wscale:8,9 rto:240 rtt:36.143/6.909 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:72 bytes_sent:194032 bytes_acked:89777 segs_out:136 segs_in:32 data_segs_out:134 send 23.1Mbps lastsnd:4 lastrcv:104 lastack:4 pacing_rate 46.2Mbps delivery_rate 9.5Mbps delivered:63 busy:104ms unacked:72 rcv_space:14480 rcv_ssthresh:42242 notsent:312768 minrtt:20.388
